airtable_id,project_name1,property_slug
recA8rYZ6IDwpVJr2,Address Residences Zabeel,address-residences-zabeel
recSDpE44ICL7r5NY,Armani Beach Residences,armani-beach-residences
rec0cXmAkGVJdlyeX,Ashley Hills,ashley-hills
rec5m5N1hsTKwMGiH,Atelis,atelis
recJOkDxNpwtVRgWf,Athlon,athlon
recr77jHkDpBewBOI,Avenew 888,avenew-888
rec3wA4pscjzYoXVp,Baccarat Hotel & Residences Phase 2,baccarat-hotel-residences-phase-2
rec3ggWsTzEORmpsP,Baccarat Residences,baccarat-residences
recSvnYZsFUyKwwBr,Bayz 101,bayz-101
recodk07PqUxaMLma,Bayz 102,bayz-102
rec64W4VfJ7KsmAZ7,Binghatti Aquarise,binghatti-aquarise
recJCY5uOoqAjDnI2,Binghatti Hills Phase 2,binghatti-hills-phase-2
recVzCtMAEHP6rhDi,Binghatti Hills Phase 3,binghatti-hills-phase-3
recBpwIBxoDcffmOF,Binghatti Hillside,binghatti-hillside
rec65FstKNmakadZD,Binghatti Hillviews,binghatti-hillviews
rec1BKnXPNtvEOOoN,Binghatti Skyblade,binghatti-skyblade
recfbmnS8robB2cO0,Binghatti Skyhall,binghatti-skyhall
recDubSMc8gaIo1Cp,Binghatti Skyrise,binghatti-skyrise
reclCg4X7Er2whydn,Bluewater Residential,bluewater-residential
recuqNmbAfesHxPuh,Bluewaters Bay,bluewaters-bay
recpluGgtiWNgSXrE,Breez by Danube,breez-by-danube
rec4HnZgiv74IZdlC,Bugatti Residences,bugatti-residences
recXRAspQs1ocMBcH,Burj Binghatti,burj-binghatti
recdzqFhNhFyIXlwE,California Residences,california-residences
recf1GwVh5jm7xePh,Capria East,capria-east
recK5MrZ11wfoUoAS,Capria West,capria-west
recNTL2WaEIEzqS59,Casa AHS,casa-ahs
rec1YyoCssQaJO7Fe,Castleton,castleton
reczulcpwaMDzalTh,Central park,central-park
recPRiE1S3apxXCpm,Como Residences,como-residences
recsdwp1fYIFVW3U7,Dar Global Villas,dar-global-villas
rec3MGnoaewWdNrtk,Diamondz,diamondz
recLgMkfjwJk0zMBY,DIFC Heights Tower,difc-heights-tower
recMnnMytsMEAxMGX,DIFC Living,difc-living
recFHk6ihwxxruJrP,Distrikt at Ghaf Woods,distrikt-at-ghaf-woods
recjC0OYcvG5afrwt,Double Tree by Hilton,double-tree-by-hilton
rec9HzWVwJbklMfXf,Eden Hills,eden-hills
recpJfNU03Jx9vkcq,Eden House Dubai Hills,eden-house-dubai-hills
recQEAD44upLjsdD7,Eden House The Canal,eden-house-the-canal
recXwxwM5LrpfI2h4,Eden House The Park,eden-house-the-park
recnCpMeUYJGggsoJ,Eden House Za’abeel,eden-house-za-abeel
recji4NamkKwErwca,Ellington Cove,ellington-cove
recsHipWJAmb3ZMej,Ellington Ocean House,ellington-ocean-house
recZor393adzaV5ha,Eywa,eywa
recMyUhvdcxlEJamW,Fashionz By Danube,fashionz-by-danube
recj841q3VPbCKhWS,Flora Shore,flora-shore
rec97oTcQM7uJamwc,Four Seasons Private,four-seasons-private
reccIFtsPyjUzkO5e,Franck Muller Vanguard,franck-muller-vanguard
recW8GtuE6Ft4vref,Franck Muller Yachting,franck-muller-yachting
recHfyLXRZnKYUY98,Ghaf Woods,ghaf-woods
recmj1KSFnRG2vHqT,Habtoor Grand Residences,habtoor-grand-residences
reclf6pnTay13cGUa,Hyde Residences,hyde-residences
reccxIepVVUlX4DkB,Iconic Residences,iconic-residences
recgPBYIWshWdfvco,Iluka,iluka
recjheByOmU9cKke6,Interstellar Tower,interstellar-tower
rec8inEl775LLRSBD,IVY Gardens Phase 2,ivy-gardens-phase-2
recTj8LoSNLATCEHz,Jumeirah Residences Emirates Towers,jumeirah-residences-emirates-towers
rechZN5BYFjpb2jZA,Luma Park Views,luma-park-views
reccuMwO0gwp3d38I,Mercedes Benz,mercedes-benz
recIJ6z4yIjk4nTec,Mercer House,mercer-house
rectXWmggiGVAFYD5,Mina Rashid,mina-rashid
rec1yNM93h1Nt9d3K,Modo at Avenew 88,modo-at-avenew-88
recYxncg5RRr1PES6,Muraba Residences,muraba-residences
recfG3vY2Ce7eSM9I,Muraba Veil,muraba-veil
recWl3pWl522qtqcd,Nad Al Sheba Gardens Phase 9,nad-al-sheba-gardens-phase-9
rec0FIrXyOrblwvXn,Nobu Residences,nobu-residences
recWlvhS8i2sELBaq,Olaia Residences,olaia-residences
recMuvFdkGhUnZkd3,One Crescent,one-crescent
rec7X7AVAhc0NXBlv,One River Point,one-river-point
recUHbRaHI6r2JlE0,Orla by Omniyat,orla-by-omniyat
recbiYmZao6fiCETe,Palm Jebel Ali Fronds Villas,palm-jebel-ali-fronds-villas
recL3aCAkaAXInF5L,Park Five,park-five
rec7ZDWPNz1e749Qv,Passo,passo
recpWum93nvSjEJFT,Peninsula Dubai Residences,peninsula-dubai-residences
recb7apGQMiTMDLSR,Raffles Residences & Penthouses,raffles-residences-penthouses
recDUSjfCG6aZb9dn,Reef 998,reef-998
recsm0Vca7rGaozMX,Reef 999,reef-999
recbRHIzUGvVyfxhp,Reef 1000,reef-1000
recxy6RXTdUvq2Ijd,Reef Winter Garden,reef-winter-garden
rec8deS9AkdlPen0n,Rosewood Residences,rosewood-residences
recrjchydI6oS72J1,Samana Avenue,samana-avenue
reciWCozK8fmFe0UE,Samana Barari Heights,samana-barari-heights
recc9wJyMJrB2JS8k,Samana Boulevard Heights,samana-boulevard-heights
recjr2WfOqWzFjAF1,Samana Hills South 2,samana-hills-south-2
reczMWExK40SdtEJM,Samana Ocean Pearl,samana-ocean-pearl
recZWU6uZJWp1UKmR,Samana Ocean Pearls Phase 2,samana-ocean-pearls-phase-2
recPFFnZm15yaUJoc,Samana Park Meadows,samana-park-meadows
recWRJBtfEsRwY5Pb,Serenia District,serenia-district
rec8tdjqaH2w13Fw1,Serenia District JLT Palma Developments,serenia-district-jlt-palma-developments
recSdKDXPPXZYdxSw,Serra at Ghaf Woods,serra-at-ghaf-woods
recrMPSwnu3uRokVF,Six Senses Residences Dubai Marina,six-senses-residences-dubai-marina
rec0hx71Nd3SVpxj4,SLS Residences Palm Jumeirah,sls-residences-palm-jumeirah
recKDDOAFiOcu2Ho9,Sobha Orbis,sobha-orbis
recv6NlvSdKsKb5sC,Sobha Siniya Island,sobha-siniya-island
recTSs7P3CMtx7uPf,Sobha Solis,sobha-solis
recHNvatV23BMR0IB,Sofitel Residences,sofitel-residences
recKqYqMC3ifAPjCm,Solaia Residences,solaia-residences
recp8j62VSBqzgAxr,Soulever Maritime City,soulever-maritime-city
reckp2hk3OzaOfb6G,The Alba Residences Dorchester Collection,the-alba-residences-dorchester-collection
rec9Il5mTsu6xaUX4,The Carlyle Residences,the-carlyle-residences
recq6yNzaMZajJ9nR,The Chedi Private Residences,the-chedi-private-residences
recX75eCXJuLkAY7h,The Edge,the-edge
recru9V97ciryFwWe,The Edition,the-edition
rec7yBUBH6M3GzwPr,The Highbury,the-highbury
recYu9ZUswv9knZZb,The Ritz Carlton Residence DIFC,the-ritz-carlton-residence-difc
recAMlWZTvh8xi1VG,The West Residence at Serenia District,the-west-residence-at-serenia-district
rec6o9lUGoYwdY9TM,Vela Viento,vela-viento
recE7C7XHyrZPvfxf,Verdania 3 DLRC,verdania-3-dlrc
recKQag6FdcuKuMU4,Villa del Arte,villa-del-arte
recz8Yl8R2LK4OX6e,Villa Del Brunello,villa-del-brunello
recDd60JrdBF6i1bU,Villa Del Divos,villa-del-divos
recVNTD0bmfCFmsdc,Villa del Gavi,villa-del-gavi
recrQ2dj0Y7lqgp9F,Vincitore Wellness Estate,vincitore-wellness-estate
recl8mYPZh3fQzKfQ,W Residences Dubai Harbour,w-residences-dubai-harbour
recxCTSFh2gk6ZH4l,Weybridge Gardens Phase 5,weybridge-gardens-phase-5
